ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0031941	filamentous actin	5/349	32/19944	0.15625	8.92908309455588	5.99067612270549	0.000217690549988774	0.00385349936585051	0.00296296872789186	PDLIM2/DPYSL3/CARMIL1/JAM3/TMSB15A	5
GO:0098857	membrane microdomain	15/349	293/19944	0.0511945392491468	2.92556988763605	4.43135039965599	0.00021812260561418	0.00385349936585051	0.00296296872789186	PTPRC/BTK/TLR2/NPHS2/CR1/PODXL/F2R/SULF1/MME/KDR/GJA1/CLIP3/CXADR/MS4A4A/STOML2	15
GO:0005884	actin filament	9/349	120/19944	0.075	4.28595988538682	4.81828583455361	0.000264055631387983	0.00445293814749735	0.00342387923952839	PDLIM2/INF2/AIF1/DPYSL3/CARMIL1/JAM3/MYO1B/TMOD1/TMSB15A	9
GO:0043204	perikaryon	10/349	153/19944	0.065359477124183	3.73504129445474	4.53222078369209	0.000372101286492007	0.00600215553428411	0.00461507774093061	GRIK2/PALS1/DDN/SYNPO/MAP1B/CPNE6/MYO1D/CRHBP/NDN/ITGA8	10
GO:0034774	secretory granule lumen	15/349	327/19944	0.0458715596330275	2.62138219289714	3.94528429309936	0.000690808792426253	0.0106787525829225	0.00821092906787344	VEGFA/QPCT/F5/CHI3L1/LTF/CLU/ERP44/C3/PYCARD/CFD/ECM1/IGF1/FGA/NIT2/SPARC	15
GO:0060205	cytoplasmic vesicle lumen	15/349	332/19944	0.0451807228915663	2.58190354541375	3.87903254352404	0.000806147433737007	0.0118588114158702	0.0091182803055776	VEGFA/QPCT/F5/CHI3L1/LTF/CLU/ERP44/C3/PYCARD/CFD/ECM1/IGF1/FGA/NIT2/SPARC	15
GO:0031983	vesicle lumen	15/349	333/19944	0.0450450450450451	2.57415008131341	3.86592751834805	0.000831075732648586	0.0118588114158702	0.0091182803055776	VEGFA/QPCT/F5/CHI3L1/LTF/CLU/ERP44/C3/PYCARD/CFD/ECM1/IGF1/FGA/NIT2/SPARC	15
GO:0042105	alpha-beta T cell receptor complex	3/349	12/19944	0.25	14.2865329512894	6.14415519385797	0.0010393479927135	0.0137713609034539	0.0105888460911789	CD3D/TRBV19/TRBC1	3
GO:0043220	Schmidt-Lanterman incisure	3/349	12/19944	0.25	14.2865329512894	6.14415519385797	0.0010393479927135	0.0137713609034539	0.0105888460911789	CLDN5/PALS1/JAM3	3
GO:0098644	complex of collagen trimers	4/349	27/19944	0.148148148148148	8.46609360076409	5.18082204289044	0.00117652562021768	0.0146435168265821	0.0112594497375621	COL4A5/COL4A4/LUM/COL1A2	4
