gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig
IGLC1	3.83700345010654	6.09007074072939	5.74683763971251	5.11605526896933e-07	6.13073345632724e-05	6.1288992036937	TRUE
TACC2	-1.16249373366845	8.40597633202975	-5.72908695438849	5.45192421255845e-07	6.35172469584481e-05	6.0686911224629	TRUE
PPL	1.27878269528519	5.53680386514916	5.72668194348726	5.49908189221056e-07	6.35237163328154e-05	6.06053620583205	TRUE
MS4A6A	2.23448110769194	4.40596022747644	5.72227796358849	5.58648678427212e-07	6.39910935768178e-05	6.04560478902482	TRUE
IGLL3P	2.45595752733144	6.71016668386053	5.71346402483398	5.76557499618703e-07	6.50469154979299e-05	6.01572797056921	TRUE
RASL12	-1.03064000549011	3.99452036009771	-5.71305122363032	5.77410078149036e-07	6.50469154979299e-05	6.01432889505537	TRUE
LRRC2	-3.12571013462931	6.33043738169547	-5.70140323136978	6.01989532258484e-07	6.60898509497421e-05	5.97485892542959	TRUE
FCGBP	1.33985721964323	5.26121465072633	5.69951897780851	6.06062018099755e-07	6.60898509497421e-05	5.96847541219112	TRUE
NPHS1	-3.15308226346391	4.94186572320375	-5.69233260259362	6.21846483529363e-07	6.67053492299455e-05	5.9441328703088	TRUE
TUBGCP2	-1.26999205721741	3.89536652269595	-5.69029875854945	6.26387257092878e-07	6.67053492299455e-05	5.93724463516402	TRUE
ANKRD2	1.53690792319593	4.37904338117685	5.68616071808194	6.35727619505789e-07	6.68296272254759e-05	5.92323132173604	TRUE
PALS1	-1.77906313887697	6.92082660975782	-5.66749947944651	6.7959482721742e-07	7.07141762580202e-05	5.86005974542417	TRUE
DNMT3L	-1.76165839940434	5.2719804324392	-5.6217956762819	8.00115522480507e-07	8.01939315215573e-05	5.70551430889877	TRUE
NPHS2	-3.51506697764014	10.9587408204303	-5.61150164698391	8.30057444281628e-07	8.08179501643062e-05	5.67073969334416	TRUE
FRY	-2.37375843841618	5.29127512686386	-5.59921552482519	8.67249986521835e-07	8.38403160729017e-05	5.62925237479137	TRUE
BMP7	-1.09905392195885	4.3948921476067	-5.56250011689755	9.88519109852149e-07	9.42273006041583e-05	5.50538470564461	TRUE
IGLC7	3.67503945566655	6.28448665226355	5.54464856320337	1.0534072699503e-06	9.90275482530524e-05	5.44522025893042	TRUE
KIAA0040	-1.0553211319388	5.08514546952236	-5.52871987374522	1.11485658827449e-06	0.000103128650583054	5.39157130484572	TRUE
ZDHHC6	-1.93022608658759	11.1016591831905	-5.52749404346334	1.11973004814702e-06	0.000103128650583054	5.3874440026433	TRUE
TGFBR3	-2.09198227621605	11.4230479647239	-5.41866551088708	1.64798512927853e-06	0.000140398033107473	5.02184369517247	TRUE
CD3D	1.94989621632443	4.30350637974292	5.41672613447788	1.65935007259106e-06	0.00014048820397198	5.01534374516417	TRUE
CA10	-2.41859569966035	5.79065031587801	-5.4041459803613	1.73497633047596e-06	0.000142466640727215	4.97319395706043	TRUE
HS3ST3A1	-2.6496762790533	6.16061324851751	-5.36885677544583	1.96578931393313e-06	0.000157621612577779	4.85508372284684	TRUE
MAGI2	-2.21249034294835	6.7597179656166	-5.36305029516913	2.00657201838384e-06	0.00015902083245692	4.83566799745666	TRUE
CR1	-1.44494266070781	3.56769637421457	-5.35092600828912	2.09444405243691e-06	0.000165025242073801	4.79514353686155	TRUE
TPPP3	-2.9676783467895	6.64874234828702	-5.34179401366254	2.16313007295033e-06	0.000169195219271752	4.764635662447	TRUE
TCEAL2	-1.81133743158152	9.79537667153425	-5.31413040322683	2.38507546673129e-06	0.000182645863410192	4.67229821805263	TRUE
KLK7	-2.67798035958009	5.60992357452486	-5.30402696903112	2.4716234561438e-06	0.000187783666392526	4.6386047971764	TRUE
UBD	1.93957458058965	6.52790174141057	5.30309976731711	2.47971975281746e-06	0.000187783666392526	4.63551354656642	TRUE
DDN	-2.29354752525752	7.96493935202579	-5.2825553794789	2.66598645178138e-06	0.000195376673786194	4.5670554105637	TRUE
NELL1	-2.0062627398425	6.57946287689679	-5.274144738349	2.74616877865475e-06	0.000200176612951032	4.53904944627839	TRUE
PODXL	-3.04319309135981	11.5749431413097	-5.26240076989572	2.86212680518402e-06	0.000207519417454592	4.49996377270757	TRUE
PDLIM2	-1.70420978662334	9.14699980797189	-5.25006354633597	2.98914989719843e-06	0.000214705322871986	4.45892859495295	TRUE
FBXL7	-1.78150450764863	5.95846629753238	-5.24330799795362	3.06104597994913e-06	0.000218456113888411	4.43646969949554	TRUE
