gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig
CFAP43	-0.226799904352168	3.08475632008438	-1.20900564791158	0.232242706830378	0.48659807370856	-5.66636154347266	FALSE
ZNF407	-0.171802972808182	2.96975300406641	-1.20894426074266	0.232266085761212	0.48659807370856	-5.66643297618463	FALSE
PRDM9	-0.0956416023732025	2.98878863811757	-1.20889135825791	0.232286234731245	0.48659807370856	-5.6664945330157	FALSE
ZMAT4	-0.0333282601205336	2.26643561879778	-1.20865809851725	0.232375091604044	0.486709415128262	-5.66676592156421	FALSE
FADS1	0.224846123712914	4.92114574953963	1.20844749269177	0.232455340134382	0.486802694941121	-5.66701091076473	FALSE
CBLN1	-0.016265162581687	2.57294249973896	-1.20797762028003	0.232634451705311	0.487102951028431	-5.66755734919718	FALSE
PMP22	0.447291657656701	8.64862433185755	1.20749624993625	0.232818050725678	0.487392575706453	-5.6681169514113	FALSE
TACR1	-0.0112358601873397	2.66279346108582	-1.20742748926778	0.232844285305584	0.487392575706453	-5.6681968698382	FALSE
NUMB	0.134514027147796	7.29702385235603	1.20719759368876	0.232932014120366	0.487426509744351	-5.66846403930181	FALSE
LOC101928143	0.134514027147796	7.29702385235603	1.20719759368876	0.232932014120366	0.487426509744351	-5.66846403930181	FALSE
AAR2	-0.100238045535471	7.55431740987888	-1.20699908893231	0.233007783526078	0.487504076134243	-5.66869468983781	FALSE
HADH	0.412274601656577	9.83975870854058	1.20691310201399	0.233040610380069	0.487504076134243	-5.66879459034273	FALSE
IER3IP1	0.252938065428609	7.19158885768645	1.20678498113359	0.233089528799531	0.487531589238362	-5.66894343007985	FALSE
IL9R	-0.0698986820088003	2.68765347888327	-1.20667424074601	0.233131817134919	0.487545228500473	-5.6690720666635	FALSE
GPATCH2	0.139815321275972	4.00299422952545	1.20655678444698	0.233176676191553	0.487555022091962	-5.6692084923205	FALSE
LOC100505915	-0.435781082890425	4.00813691375792	-1.20647468255672	0.23320803639055	0.487555022091962	-5.66930384634697	FALSE
DNAJB12	0.171341742404874	5.66704886692465	1.20599944360351	0.233389622414432	0.487695042439215	-5.66985567382729	FALSE
PEG10	0.140557438937826	3.76920715457541	1.20599012519812	0.233393183954158	0.487695042439215	-5.66986649191852	FALSE
